db_anime_slug,db_title,db_source_title,query,match_status,match_score,needs_review,matched_title,matched_url,notes,db_episode_slug,episode_number,otakudesu_episode_url,stream_url,download_url,samehadaku_stream_present,samehadaku_download_present
kusuriya-no-hitorigoto,Kusuriya no Hitorigoto,Kusuriya no Hitorigoto,Kusuriya no Hitorigoto,matched,1.000,false,Kusuriya no Hitorigoto,https://otakudesu.blog/anime/kusuriya-hitorigoto-sub-indo/,,,11,https://otakudesu.blog/episode/knh-episode-11-sub-indo/,https://desustream.info/dstream/desudesu3/v2/index.php?id=bDVZcDJrZTEvMkF3UUNVQzVveUp6dz09,https://link.desustream.com/?id=Uk83OUt2T214S3VyTlZnTDBTeXJPNkU2WjV3cStpQjNlMVBxNkZPd0ZiMmR0NTArMXJOQ0JDTDFIeXhqanVORGFYVDF2MjJYOUtCWXZ6TlhxUXdJM01MMjRqU0ZibU09,false,false
kusuriya-no-hitorigoto,Kusuriya no Hitorigoto,Kusuriya no Hitorigoto,Kusuriya no Hitorigoto,matched,1.000,false,Kusuriya no Hitorigoto,https://otakudesu.blog/anime/kusuriya-hitorigoto-sub-indo/,,,12,https://otakudesu.blog/episode/knh-episode-12-sub-indo/,https://desustream.info/dstream/desudesu3/v2/index.php?id=cUVuRWNYZ25vK2xkTzBRcXNlL0x1UT09,https://link.desustream.com/?id=Uk83OUt2T214S3VyTlZnTDBTeXJPNkU2WjV3cStpQjVjRit2dlY2bFEvR2Y1SW8rMXJOQ0JDTDFIeXhqanVORGFYVDF2MjJYOUtCYnZ6TlhxUXdJM01MMjRqU0ZibU09,false,false
kusuriya-no-hitorigoto,Kusuriya no Hitorigoto,Kusuriya no Hitorigoto,Kusuriya no Hitorigoto,matched,1.000,false,Kusuriya no Hitorigoto,https://otakudesu.blog/anime/kusuriya-hitorigoto-sub-indo/,,,13,https://otakudesu.blog/episode/knh-episode-13-sub-indo/,https://desustream.info/dstream/desudesu3/v2/index.php?id=bmUzOElaMDNhVlFYVXRnN3JWYkhjZz09,https://link.desustream.com/?id=Uk83OUt2T214S3VyTlZnTDBTeXJPNkU2WjV3cStpQTBiRVc3NFVhNlNmL0o0NE0rMXJOQ0JDTDFIeXhqanVORGFYVDF2MjJYOUtCYXZ6TlhxUXdJM01MMjRqU0ZibU09,false,false
kusuriya-no-hitorigoto,Kusuriya no Hitorigoto,Kusuriya no Hitorigoto,Kusuriya no Hitorigoto,matched,1.000,false,Kusuriya no Hitorigoto,https://otakudesu.blog/anime/kusuriya-hitorigoto-sub-indo/,,,14,https://otakudesu.blog/episode/knh-episode-14-sub-indo/,https://desustream.info/dstream/desudesu3/v2/index.php?id=UFhGUE5HRWg1clcrU0lOOXVXYzBsUT09,https://link.desustream.com/?id=Uk83OUt2T214S3VyTlZnTDBTeXJPNkU2WjV3cStpQmlmVVc1K2xyN1ErZVA0SU0rMXJOQ0JDTDFIeXhqanVORGFYVDF2MjJYOUtCZHZ6TlhxUXdJM01MMjRqU0ZibU09,false,false
kusuriya-no-hitorigoto,Kusuriya no Hitorigoto,Kusuriya no Hitorigoto,Kusuriya no Hitorigoto,matched,1.000,false,Kusuriya no Hitorigoto,https://otakudesu.blog/anime/kusuriya-hitorigoto-sub-indo/,,,15,https://otakudesu.blog/episode/knh-episode-15-sub-indo/,https://desustream.info/dstream/desudesu3/v2/index.php?id=LzZKZ3VHRGVtY3R4UE42UU03R3lhdz09,https://link.desustream.com/?id=Uk83OUt2T214S3VyTlZnTDBTeXJPNkU2WjV3cStpQjFaRjdtNUZ1dkZmSEo3WncrMXJOQ0JDTDFIeXhqanVORGFYVDF2MjJYOUtCY3Z6TlhxUXdJM01MMjRqU0ZibU09,false,false
kusuriya-no-hitorigoto,Kusuriya no Hitorigoto,Kusuriya no Hitorigoto,Kusuriya no Hitorigoto,matched,1.000,false,Kusuriya no Hitorigoto,https://otakudesu.blog/anime/kusuriya-hitorigoto-sub-indo/,,,16,https://otakudesu.blog/episode/knh-episode-16-sub-indo/,https://desustream.info/dstream/desudesu3/v2/index.php?id=Ull6b3drL2hLNjZhdTlLdXpHaGtEQT09,https://link.desustream.com/?id=Uk83OUt2T214S3VyTlZnTDBTeXJPNkU2WjV3cStpQmplbDJvNjBIMEQvUE0rcDgrMXJOQ0JDTDFIeXhqanVORGFYVDF2MjJYOUtCZnZ6TlhxUXdJM01MMjRqU0ZibU09,false,false
kusuriya-no-hitorigoto,Kusuriya no Hitorigoto,Kusuriya no Hitorigoto,Kusuriya no Hitorigoto,matched,1.000,false,Kusuriya no Hitorigoto,https://otakudesu.blog/anime/kusuriya-hitorigoto-sub-indo/,,,17,https://otakudesu.blog/episode/knh-episode-17-sub-indo/,https://desustream.info/dstream/desudesu3/v2/index.php?id=b2ovQi8yZ3lZdCtMZUJnd2ZydEhMQT09,https://link.desustream.com/?id=Uk83OUt2T214S3VyTlZnTDBTeXJPNkU2WjV3cStpQjdaa2lvNzBqNkhPK2I1Y0krMXJOQ0JDTDFIeXhqanVORGFYVDF2MjJYOUtCZXZ6TlhxUXdJM01MMjRqU0ZibU09,false,false
kusuriya-no-hitorigoto,Kusuriya no Hitorigoto,Kusuriya no Hitorigoto,Kusuriya no Hitorigoto,matched,1.000,false,Kusuriya no Hitorigoto,https://otakudesu.blog/anime/kusuriya-hitorigoto-sub-indo/,,,18,https://otakudesu.blog/episode/knh-episode-18-sub-indo/,https://desustream.info/dstream/desudesu3/v2/index.php?id=SHdNV1FPUVRIRjk1ZzdUMjdFTCtzdz09,https://link.desustream.com/?id=Uk83OUt2T214S3VyTlZnTDBTeXJPNkU2WjV3cStpQmtaQVM2dmg2MkdmK1U2WjQrMXJOQ0JDTDFIeXhqanVORGFYVDF2MjJYOUtCUnZ6TlhxUXdJM01MMjRqU0ZibU09,false,false
kusuriya-no-hitorigoto,Kusuriya no Hitorigoto,Kusuriya no Hitorigoto,Kusuriya no Hitorigoto,matched,1.000,false,Kusuriya no Hitorigoto,https://otakudesu.blog/anime/kusuriya-hitorigoto-sub-indo/,,,19,https://otakudesu.blog/episode/knh-episode-19-sub-indo/,https://desustream.info/dstream/desudesu3/v2/index.php?id=VW04emlHNjVwSXJIdmVuWkg5Rklqdz09,https://link.desustream.com/?id=Uk83OUt2T214S3VyTlZnTDBTeXJPNkU2WjV3cStpQnFkd0d6L3h1c0ZlL1B2SUkrMXJOQ0JDTDFIeXhqanVORGFYVDF2MjJYOUtCUXZ6TlhxUXdJM01MMjRqU0ZibU09,false,false
kusuriya-no-hitorigoto,Kusuriya no Hitorigoto,Kusuriya no Hitorigoto,Kusuriya no Hitorigoto,matched,1.000,false,Kusuriya no Hitorigoto,https://otakudesu.blog/anime/kusuriya-hitorigoto-sub-indo/,,,20,https://otakudesu.blog/episode/knh-episode-20-sub-indo/,https://desustream.info/dstream/desudesu3/v2/index.php?id=YTFYNTNWRnBKUjBSTE1lVFZCWjNUQT09,https://link.desustream.com/?id=Uk83OUt2T214S3VyTlZnTDBTeXJPNkU2WjV3cStpQTRja3J2NzB5aUR1YkJ2SWcrMXJOQ0JDTDFIeXhqanVORGFYVDF2MjJYOUtOWnZ6TlhxUXdJM01MMjRqU0ZibU09,false,false
kusuriya-no-hitorigoto,Kusuriya no Hitorigoto,Kusuriya no Hitorigoto,Kusuriya no Hitorigoto,matched,1.000,false,Kusuriya no Hitorigoto,https://otakudesu.blog/anime/kusuriya-hitorigoto-sub-indo/,,,21,https://otakudesu.blog/episode/knh-episode-21-sub-indo/,https://desustream.info/dstream/desudesu3/v2/index.php?id=Q0d0UUt3SXdzeUltcHJJa3V6eVdRUT09,https://link.desustream.com/?id=Uk83OUt2T214S3VyTlZnTDBTeXJPNkU2WjV3cStpQnVMa2FtNDAveFF2R2Z0NVkrMXJOQ0JDTDFIeXhqanVORGFYVDF2MjJYOUtOWXZ6TlhxUXdJM01MMjRqU0ZibU09,false,false
kusuriya-no-hitorigoto,Kusuriya no Hitorigoto,Kusuriya no Hitorigoto,Kusuriya no Hitorigoto,matched,1.000,false,Kusuriya no Hitorigoto,https://otakudesu.blog/anime/kusuriya-hitorigoto-sub-indo/,,,22,https://otakudesu.blog/episode/knh-episode-22-sub-indo/,https://desustream.info/dstream/desudesu3/v2/index.php?id=VGFRN3FhMTlEYkVpTmVHUGNjeHFPQT09,https://link.desustream.com/?id=Uk83OUt2T214S3VyTlZnTDBTeXJPNkU2WjV3cStpQjVlMWlwdmwydVRleUt2cEUrMXJOQ0JDTDFIeXhqanVORGFYVDF2MjJYOUtOYnZ6TlhxUXdJM01MMjRqU0ZibU09,false,false
kusuriya-no-hitorigoto,Kusuriya no Hitorigoto,Kusuriya no Hitorigoto,Kusuriya no Hitorigoto,matched,1.000,false,Kusuriya no Hitorigoto,https://otakudesu.blog/anime/kusuriya-hitorigoto-sub-indo/,,,23,https://otakudesu.blog/episode/knh-episode-23-sub-indo/,https://desustream.info/dstream/desudesu3/v2/index.php?id=TnlEaEFCRUFuVUw2VE1KWXZjYmRGQT09,https://link.desustream.com/?id=Uk83OUt2T214S3VyTlZnTDBTeXJPNkU2WjV3cStpQnZLVm1tK2hyMUVlTE0vY0krMXJOQ0JDTDFIeXhqanVORGFYVDF2MjJYOUtOYXZ6TlhxUXdJM01MMjRqU0ZibU09,false,false
kusuriya-no-hitorigoto,Kusuriya no Hitorigoto,Kusuriya no Hitorigoto,Kusuriya no Hitorigoto,matched,1.000,false,Kusuriya no Hitorigoto,https://otakudesu.blog/anime/kusuriya-hitorigoto-sub-indo/,,,24,https://otakudesu.blog/episode/knh-episode-24-sub-indo/,https://desustream.info/dstream/desudesu3/v2/index.php?id=WjZqODNHZVRmTnNWNmJLUDVmbkdHUT09,https://link.desustream.com/?id=Uk83OUt2T214S3VyTlZnTDBTeXJPNkU2WjV3cStpQjFMZ0xzdnhpckh1K0E0NEErMXJOQ0JDTDFIeXhqanVORGFYVDF2MjJYOUtOZHYwVVAvU01WaDRLeTRqR0JOeUZLTWhPUA==,false,false
